"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1624";"1";"SHADOWS The";"ENGELSTALIG";"0";;"SHADOWS The";"SHADOWS The";"SHADOWS The";"shadows-the";
"1625";"1";"LORDS  The";"ENGELSTALIG";"0";;"LORDS  The";"LORDS  The";"LORDS  The";"lords-the";
"1626";"1";"Oberbrandacher  Walter";"DUITSTALIG";"0";;"Oberbrandacher  Walter";"Oberbrandacher  Walter";"Oberbrandacher  Walter";"oberbrandacher-walter";
"1627";"1";"Maroda s  De";"NEDERLANDSTALIG  A-Z";"0";;"Maroda s  De";"Maroda s  De";"Maroda s  De";"maroda-s-de";
"1628";"1";"Nilsen Brothers";"DUITSTALIG";"0";;"Nilsen Brothers";"Nilsen Brothers";"Nilsen Brothers";"nilsen-brothers";
"1629";"1";"VROG GENOG";"NEDERLANDSTALIG  A-Z";"0";;"VROG GENOG";"VROG GENOG";"VROG GENOG";"vrog-genog";
"1630";"1";"Antonio  Tini";"NEDERLANDSTALIG  A-Z";"0";;"Antonio  Tini";"Antonio  Tini";"Antonio  Tini";"antonio-tini";
"1631";"1";"KALINKA";"NEDERLANDSTALIG  A-Z";"0";;"KALINKA";"KALINKA";"KALINKA";"kalinka";
"1632";"1";"TWILIGHT";"NEDERLANDSTALIG  A-Z";"0";;"TWILIGHT";"TWILIGHT";"TWILIGHT";"twilight";
"1633";"1";"FUNGUS";"NEDERLANDSTALIG  A-Z";"0";;"FUNGUS";"FUNGUS";"FUNGUS";"fungus";
"1634";"1";"Joke en Jack";"NEDERLANDSTALIG  A-Z";"0";;"Joke en Jack";"Joke en Jack";"Joke en Jack";"joke-en-jack";
"1635";"1";"Regina & De Betuwe Boys";"NEDERLANDSTALIG  A-Z";"0";;"Regina & De Betuwe Boys";"Regina & De Betuwe Boys";"Regina & De Betuwe Boys";"regina-de-betuwe-boys";
"1636";"1";"JANNEKE";"DUITSTALIG";"0";;"JANNEKE";"JANNEKE";"JANNEKE";"janneke";
"1637";"1";"SUNNY";"DUITSTALIG";"0";;"SUNNY";"SUNNY";"SUNNY";"sunny";
"1638";"1";"Willemien";"NEDERLANDSTALIG  A-Z";"0";;"Willemien";"Willemien";"Willemien";"willemien";
"1639";"1";"RI-JO s  Trio de";"NEDERLANDSTALIG  A-Z";"0";;"RI-JO s  Trio de";"RI-JO s  Trio de";"RI-JO s  Trio de";"ri-jo-s-trio-de";
"1640";"1";"MIDWAYS  The";"NEDERLANDSTALIG  A-Z";"0";;"MIDWAYS  The";"MIDWAYS  The";"MIDWAYS  The";"midways-the";
"1641";"1";"Greveld Han";"NEDERLANDSTALIG  A-Z";"0";;"Greveld Han";"Greveld Han";"Greveld Han";"greveld-han";
"1642";"1";"Ad & Jacqueline";"NEDERLANDSTALIG  A-Z";"0";;"Ad & Jacqueline";"Ad & Jacqueline";"Ad & Jacqueline";"ad-jacqueline";
"1643";"1";"Hekke-Sluiters  De";"NEDERLANDSTALIG  A-Z";"0";;"Hekke-Sluiters  De";"Hekke-Sluiters  De";"Hekke-Sluiters  De";"hekke-sluiters-de";
"1644";"1";"Mae  Maggie";"DUITSTALIG";"0";;"Mae  Maggie";"Mae  Maggie";"Mae  Maggie";"mae-maggie";
"1645";"1";"Romantica s  De";"NEDERLANDSTALIG  A-Z";"0";;"Romantica s  De";"Romantica s  De";"Romantica s  De";"romantica-s-de";
"1646";"1";"White Barry";"ENGELSTALIG";"0";;"White Barry";"White Barry";"White Barry";"white-barry";
"1647";"1";"POLICE  The";"ENGELSTALIG";"0";;"POLICE  The";"POLICE  The";"POLICE  The";"police-the";
"1648";"1";"Joling Gerard";"ENGELSTALIG";"0";;"Joling Gerard";"Joling Gerard";"Joling Gerard";"joling-gerard";
"1649";"1";"Clerc  Julien";"ENGELSTALIG";"0";;"Clerc  Julien";"Clerc  Julien";"Clerc  Julien";"clerc-julien";
"1650";"1";"Esposito  Tony";"ENGELSTALIG";"0";;"Esposito  Tony";"Esposito  Tony";"Esposito  Tony";"esposito-tony";
"1651";"1";"Somerville  Jimmy";"ENGELSTALIG";"0";;"Somerville  Jimmy";"Somerville  Jimmy";"Somerville  Jimmy";"somerville-jimmy";
"1652";"1";"Music Line  The";"ENGELSTALIG";"0";;"Music Line  The";"Music Line  The";"Music Line  The";"music-line-the";
"1653";"1";"Griffin  Peter";"ENGELSTALIG";"0";;"Griffin  Peter";"Griffin  Peter";"Griffin  Peter";"griffin-peter";
"1654";"1";"Schafer Die";"DUITSTALIG";"0";;"Schafer Die";"Schafer Die";"Schafer Die";"schafer-die";
