"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"2006";"1";"Artiest CLASSICS";"Artiest";"0";"Artiest CLASSICS";"Artiest CLASSICS";"Artiest CLASSICS";"Artiest CLASSICS";"artiest-classics";
"2007";"1";"BEN STENEKER";"Artiest";"0";"BEN STENEKER";"BEN STENEKER";"BEN STENEKER";"BEN STENEKER";"ben-steneker";
"2008";"1";"ELVIS PRESLEY";"Artiest";"0";"ELVIS PRESLEY";"ELVIS PRESLEY";"ELVIS PRESLEY";"ELVIS PRESLEY";"elvis-presley";
"2009";"1";"Artiest NEW WORLD";"Artiest";"0";"Artiest NEW WORLD";"Artiest NEW WORLD";"Artiest NEW WORLD";"Artiest NEW WORLD";"artiest-new-world";
"2010";"1";"Artiest RENEE";"Artiest";"0";"Artiest RENEE";"Artiest RENEE";"Artiest RENEE";"Artiest RENEE";"artiest-renee";
"2011";"1";"NICK LOWE";"Artiest";"0";"NICK LOWE";"NICK LOWE";"NICK LOWE";"NICK LOWE";"nick-lowe";
"2012";"1";"Artiest LYDIA EN DE MELODIESTRINGS";"Artiest";"0";"Artiest LYDIA EN DE MELODIESTRINGS";"Artiest LYDIA EN DE MELODIESTRINGS";"Artiest LYDIA EN DE MELODIESTRINGS";"Artiest LYDIA EN DE MELODIESTRINGS";"artiest-lydia-en-de-melodiestrings";
"2013";"1";"LIPPS, INC";"Artiest";"0";"LIPPS, INC";"LIPPS, INC";"LIPPS, INC";"LIPPS, INC";"lipps,-inc";
"2014";"1";"Artiest MATCHBOX ";"Artiest";"0";"Artiest MATCHBOX ";"Artiest MATCHBOX ";"Artiest MATCHBOX ";"Artiest MATCHBOX ";"artiest-matchbox";
"2015";"1";"Artiest PUSSYCAT";"Artiest";"0";"Artiest PUSSYCAT";"Artiest PUSSYCAT";"Artiest PUSSYCAT";"Artiest PUSSYCAT";"artiest-pussycat";
"2016";"1";"COZY POWELL";"Artiest";"0";"COZY POWELL";"COZY POWELL";"COZY POWELL";"COZY POWELL";"cozy-powell";
"2017";"1";"FEARGAL SHARKEY";"Artiest";"0";"FEARGAL SHARKEY";"FEARGAL SHARKEY";"FEARGAL SHARKEY";"FEARGAL SHARKEY";"feargal-sharkey";
"2018";"1";"KEITH MARSHALL";"Artiest";"0";"KEITH MARSHALL";"KEITH MARSHALL";"KEITH MARSHALL";"KEITH MARSHALL";"keith-marshall";
